order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
931777.INDX,"09:31-11:30,13:01-15:00",0.0,中证江苏高质量发展指数,,JSGZLFZ,1.0,INDX,0000-00-00,2021-12-02,Active,2015.0,2014-12-31,1000.0,
931778.INDX,"09:31-11:30,13:01-15:00",0.0,中证农牧主题指数,,NMZT,1.0,INDX,0000-00-00,2017-07-21,Active,1056.0,2012-06-29,1000.0,
931779.INDX,"09:31-11:30,13:01-15:00",0.0,中证中诚信广西壮族自治区城投债指数,,ZZZCXGXCTZ,1.0,INDX,0000-00-00,2022-01-07,Active,2044.0,2017-12-29,100.0,
931780.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深医药龙头指数,,SHSYYLT,1.0,INDX,0000-00-00,2021-12-02,Active,2016.0,2014-12-31,1000.0,
931781.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪深港智能汽车主题指数,,SSHZNQC,1.0,INDX,0000-00-00,2022-01-07,Active,,,,
931782.INDX,"09:31-11:30,13:01-15:00",0.0,中证1000ESG基准指数,,1000ESG,1.0,INDX,0000-00-00,2024-03-28,Active,2477.0,2017-06-30,1000.0,
931783.INDX,"09:31-11:30,13:01-15:00",0.0,中证智能驾驶主题指数,,ZNJS,1.0,INDX,0000-00-00,2022-02-21,Active,2053.0,2016-12-30,1000.0,
931784.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪深港智能驾驶主题指数,,SSHZNJS,1.0,INDX,0000-00-00,2022-02-21,Active,2054.0,2016-12-30,1000.0,
931785.INDX,"09:31-11:30,13:01-15:00",0.0,中证智选沪深港科技50指数,,ZXHSGKJ50,1.0,INDX,0000-00-00,2025-06-27,Active,2705.0,2016-12-30,1000.0,
931786.INDX,"09:31-11:30,13:01-15:00",0.0,中证中信证券量化债股优选稳健策略指数,,ZXZGYXWJ,1.0,INDX,0000-00-00,2021-10-29,Active,2008.0,2017-12-29,1000.0,
931787.INDX,"09:31-11:30,13:01-15:00",0.0,中证香港创新药指数,,GGCXY,1.0,INDX,0000-00-00,2018-08-14,Active,1248.0,2017-12-29,1000.0,
931788.INDX,"09:31-11:30,13:01-15:00",0.0,中证韩交所中韩50指数,,ZH50,1.0,INDX,0000-00-00,2021-12-20,Active,2040.0,2014-12-31,1000.0,
931789.INDX,"09:31-11:30,13:01-15:00",0.0,中证韩交所中韩新能源车指数,,ZHXNC,1.0,INDX,0000-00-00,2021-12-20,Active,2041.0,2014-12-31,1000.0,
931790.INDX,"09:31-11:30,13:01-15:00",0.0,中证韩交所中韩半导体指数,,ZHBDT,1.0,INDX,0000-00-00,2021-12-20,Active,2042.0,2014-12-31,1000.0,
931791.INDX,"09:31-11:30,13:01-15:00",0.0,中证大盘蓝筹25指数,,DPLC25,1.0,INDX,0000-00-00,2021-12-13,Active,2035.0,2014-12-31,1000.0,
