trade_date,order_book_id,open,close,high,low,total_turnover,volume,prev_close
2026-03-27,399994.XSHE,1721.2317,1749.3935,1761.2347,1716.9692,30221584633.0,1526230775.0,1745.8111
2026-03-27,399995.XSHE,3982.9152,4024.9137,4040.5929,3982.5726,19737849429.0,2972932757.0,4032.0874
2026-03-27,399996.XSHE,4338.2872,4424.6908,4451.8825,4335.0411,95611120890.0,2524032901.0,4406.5595
2026-03-27,399997.XSHE,7668.4348,7810.0377,7849.7884,7666.8173,8559735456.0,97642620.0,7710.1903
2026-03-27,399998.XSHE,2434.608,2449.9258,2478.3581,2426.3083,16923493070.0,2239473017.0,2460.5315
2026-03-27,801001.INDX,3571.719,3631.124,3649.48,3571.719,202018137205.0,3175528038.0,3611.582
2026-03-27,801003.INDX,4545.04,4650.736,4669.94,4545.04,1850846128666.0,119078077937.0,4601.904
2026-03-27,801005.INDX,3817.7,3911.009,3937.35,3817.7,462316760000.0,17402400000.0,3867.463
2026-03-27,801010.INDX,2771.229,2842.405,2846.68,2771.229,19484615440.0,2147457300.0,2791.758
2026-03-27,801012.INDX,2339.361,2388.611,2413.17,2315.88,2890092323.0,276914720.0,2356.607
2026-03-27,801014.INDX,4005.19,4112.5,4147.69,3983.69,2744526662.0,311858398.0,4030.615
2026-03-27,801015.INDX,795.807,813.98,820.36,787.77,665801025.0,136936670.0,802.102
2026-03-27,801016.INDX,2799.485,2872.25,2923.9,2782.34,5475484824.0,687351705.0,2823.263
2026-03-27,801017.INDX,2944.216,3022.495,3049.22,2935.8,4747877163.0,436143066.0,2964.471
2026-03-27,801018.INDX,4623.948,4782.066,4816.36,4607.8,917859378.0,85100222.0,4666.201
2026-03-27,801030.INDX,4598.545,4770.634,4794.74,4598.545,120765190390.0,9500105439.0,4652.049
2026-03-27,801032.INDX,4765.934,4893.08,4964.43,4738.06,6341567528.0,766808725.0,4833.471
2026-03-27,801033.INDX,3673.772,3806.894,3864.64,3647.98,27400498868.0,2524747809.0,3706.008
2026-03-27,801034.INDX,6821.54,7036.13,7116.46,6789.24,35148772202.0,2037313644.0,6897.98
2026-03-27,801036.INDX,4519.26,4667.307,4718.83,4472.62,18421596774.0,1426702267.0,4584.739
2026-03-27,801037.INDX,4976.94,5169.989,5228.69,4956.25,3038738151.0,201400402.0,5031.267
2026-03-27,801038.INDX,6036.14,6361.279,6449.92,6014.49,28477746423.0,2496274327.0,6105.798
